base,M,outer,inner,k,total_candidates,prime_count,density,midpoint,phi_base,tau_base,rad_base,outer_gcd,inner_gcd,outer_is_prime,inner_is_prime,min_length,max_length
8,3,3,1,3,448,21,0.046875,4.0,4,4,2,1,1,true,false,19,19
8,3,3,5,0,448,68,0.151786,4.0,4,4,2,1,1,true,true,7,7
8,3,3,5,1,448,37,0.082589,4.0,4,4,2,1,1,true,true,11,11
8,3,3,5,2,448,28,0.062500,4.0,4,4,2,1,1,true,true,15,15
8,3,3,5,3,448,19,0.042411,4.0,4,4,2,1,1,true,true,19,19
8,3,3,7,0,448,70,0.156250,4.0,4,4,2,1,1,true,true,7,7
8,3,3,7,1,448,32,0.071429,4.0,4,4,2,1,1,true,true,11,11
8,3,3,7,2,448,33,0.073661,4.0,4,4,2,1,1,true,true,15,15
8,3,3,7,3,448,20,0.044643,4.0,4,4,2,1,1,true,true,19,19
8,3,5,1,0,448,67,0.149554,4.0,4,4,2,1,1,true,false,7,7
8,3,5,1,1,448,42,0.093750,4.0,4,4,2,1,1,true,false,11,11
8,3,5,1,2,448,26,0.058036,4.0,4,4,2,1,1,true,false,15,15
8,3,5,1,3,448,25,0.055804,4.0,4,4,2,1,1,true,false,19,19
8,3,5,3,0,448,59,0.131696,4.0,4,4,2,1,1,true,true,7,7
8,3,5,3,1,448,38,0.084821,4.0,4,4,2,1,1,true,true,11,11
8,3,5,3,2,448,32,0.071429,4.0,4,4,2,1,1,true,true,15,15
8,3,5,3,3,448,17,0.037946,4.0,4,4,2,1,1,true,true,19,19
8,3,5,7,0,448,60,0.133929,4.0,4,4,2,1,1,true,true,7,7
8,3,5,7,1,448,38,0.084821,4.0,4,4,2,1,1,true,true,11,11
8,3,5,7,2,448,29,0.064732,4.0,4,4,2,1,1,true,true,15,15
8,3,5,7,3,448,21,0.046875,4.0,4,4,2,1,1,true,true,19,19
8,3,7,1,0,448,67,0.149554,4.0,4,4,2,1,1,true,false,7,7
8,3,7,1,1,448,47,0.104911,4.0,4,4,2,1,1,true,false,11,11
8,3,7,1,2,448,26,0.058036,4.0,4,4,2,1,1,true,false,15,15
8,3,7,1,3,448,26,0.058036,4.0,4,4,2,1,1,true,false,19,19
8,3,7,3,0,448,67,0.149554,4.0,4,4,2,1,1,true,true,7,7
8,3,7,3,1,448,33,0.073661,4.0,4,4,2,1,1,true,true,11,11
8,3,7,3,2,448,31,0.069196,4.0,4,4,2,1,1,true,true,15,15
8,3,7,3,3,448,16,0.035714,4.0,4,4,2,1,1,true,true,19,19
8,3,7,5,0,448,68,0.151786,4.0,4,4,2,1,1,true,true,7,7
8,3,7,5,1,448,48,0.107143,4.0,4,4,2,1,1,true,true,11,11
8,3,7,5,2,448,31,0.069196,4.0,4,4,2,1,1,true,true,15,15
8,3,7,5,3,448,17,0.037946,4.0,4,4,2,1,1,true,true,19,19
10,1,1,3,0,9,3,0.333333,5.0,4,4,10,1,1,false,true,5,5
10,1,1,3,1,9,1,0.111111,5.0,4,4,10,1,1,false,true,9,9
10,1,1,3,2,9,0,0.000000,5.0,4,4,10,1,1,false,true,13,13
10,1,1,3,3,9,2,0.222222,5.0,4,4,10,1,1,false,true,17,17
10,1,1,7,0,9,2,0.222222,5.0,4,4,10,1,1,false,true,5,5
10,1,1,7,1,9,1,0.111111,5.0,4,4,10,1,1,false,true,9,9
10,1,1,7,2,9,1,0.111111,5.0,4,4,10,1,1,false,true,13,13
10,1,1,7,3,9,0,0.000000,5.0,4,4,10,1,1,false,true,17,17
10,1,1,9,0,9,3,0.333333,5.0,4,4,10,1,1,false,false,5,5
10,1,1,9,1,9,0,0.000000,5.0,4,4,10,1,1,false,false,9,9
10,1,1,9,2,9,1,0.111111,5.0,4,4,10,1,1,false,false,13,13
10,1,1,9,3,9,0,0.000000,5.0,4,4,10,1,1,false,false,17,17
10,1,3,1,0,9,1,0.111111,5.0,4,4,10,1,1,true,false,5,5
10,1,3,1,1,9,1,0.111111,5.0,4,4,10,1,1,true,false,9,9
10,1,3,1,2,9,0,0.000000,5.0,4,4,10,1,1,true,false,13,13
10,1,3,1,3,9,0,0.000000,5.0,4,4,10,1,1,true,false,17,17
10,1,3,7,0,9,2,0.222222,5.0,4,4,10,1,1,true,true,5,5
10,1,3,7,1,9,1,0.111111,5.0,4,4,10,1,1,true,true,9,9
10,1,3,7,2,9,1,0.111111,5.0,4,4,10,1,1,true,true,13,13
10,1,3,7,3,9,0,0.000000,5.0,4,4,10,1,1,true,true,17,17
10,1,3,9,0,9,1,0.111111,5.0,4,4,10,1,1,true,false,5,5
10,1,3,9,1,9,3,0.333333,5.0,4,4,10,1,1,true,false,9,9
10,1,3,9,2,9,0,0.000000,5.0,4,4,10,1,1,true,false,13,13
10,1,3,9,3,9,1,0.111111,5.0,4,4,10,1,1,true,false,17,17
10,1,7,1,0,9,2,0.222222,5.0,4,4,10,1,1,true,false,5,5
10,1,7,1,1,9,0,0.000000,5.0,4,4,10,1,1,true,false,9,9
10,1,7,1,2,9,1,0.111111,5.0,4,4,10,1,1,true,false,13,13
10,1,7,1,3,9,1,0.111111,5.0,4,4,10,1,1,true,false,17,17
10,1,7,3,0,9,2,0.222222,5.0,4,4,10,1,1,true,true,5,5
10,1,7,3,1,9,1,0.111111,5.0,4,4,10,1,1,true,true,9,9
10,1,7,3,2,9,0,0.000000,5.0,4,4,10,1,1,true,true,13,13
10,1,7,3,3,9,1,0.111111,5.0,4,4,10,1,1,true,true,17,17
10,1,7,9,0,9,3,0.333333,5.0,4,4,10,1,1,true,false,5,5
10,1,7,9,1,9,2,0.222222,5.0,4,4,10,1,1,true,false,9,9
10,1,7,9,2,9,0,0.000000,5.0,4,4,10,1,1,true,false,13,13
10,1,7,9,3,9,0,0.000000,5.0,4,4,10,1,1,true,false,17,17
10,1,9,1,0,9,0,0.000000,5.0,4,4,10,1,1,false,false,5,5
10,1,9,1,1,9,1,0.111111,5.0,4,4,10,1,1,false,false,9,9
10,1,9,1,2,9,0,0.000000,5.0,4,4,10,1,1,false,false,13,13
10,1,9,1,3,9,0,0.000000,5.0,4,4,10,1,1,false,false,17,17
10,1,9,3,0,9,3,0.333333,5.0,4,4,10,1,1,false,true,5,5
10,1,9,3,1,9,1,0.111111,5.0,4,4,10,1,1,false,true,9,9
10,1,9,3,2,9,2,0.222222,5.0,4,4,10,1,1,false,true,13,13
10,1,9,3,3,9,1,0.111111,5.0,4,4,10,1,1,false,true,17,17
10,1,9,7,0,9,3,0.333333,5.0,4,4,10,1,1,false,true,5,5
10,1,9,7,1,9,0,0.000000,5.0,4,4,10,1,1,false,true,9,9
10,1,9,7,2,9,0,0.000000,5.0,4,4,10,1,1,false,true,13,13
10,1,9,7,3,9,0,0.000000,5.0,4,4,10,1,1,false,true,17,17
10,2,1,3,0,90,16,0.177778,5.0,4,4,10,1,1,false,true,6,6
10,2,1,3,1,90,11,0.122222,5.0,4,4,10,1,1,false,true,10,10
10,2,1,3,2,90,8,0.088889,5.0,4,4,10,1,1,false,true,14,14
10,2,1,3,3,90,7,0.077778,5.0,4,4,10,1,1,false,true,18,18
10,2,1,7,0,90,11,0.122222,5.0,4,4,10,1,1,false,true,6,6
10,2,1,7,1,90,11,0.122222,5.0,4,4,10,1,1,false,true,10,10
10,2,1,7,2,90,5,0.055556,5.0,4,4,10,1,1,false,true,14,14
10,2,1,7,3,90,3,0.033333,5.0,4,4,10,1,1,false,true,18,18
10,2,1,9,0,90,19,0.211111,5.0,4,4,10,1,1,false,false,6,6
10,2,1,9,1,90,8,0.088889,5.0,4,4,10,1,1,false,false,10,10
10,2,1,9,2,90,8,0.088889,5.0,4,4,10,1,1,false,false,14,14
10,2,1,9,3,90,6,0.066667,5.0,4,4,10,1,1,false,false,18,18
10,2,3,1,0,90,15,0.166667,5.0,4,4,10,1,1,true,false,6,6
10,2,3,1,1,90,7,0.077778,5.0,4,4,10,1,1,true,false,10,10
10,2,3,1,2,90,7,0.077778,5.0,4,4,10,1,1,true,false,14,14
10,2,3,1,3,90,3,0.033333,5.0,4,4,10,1,1,true,false,18,18
10,2,3,7,0,90,19,0.211111,5.0,4,4,10,1,1,true,true,6,6
10,2,3,7,1,90,9,0.100000,5.0,4,4,10,1,1,true,true,10,10
10,2,3,7,2,90,8,0.088889,5.0,4,4,10,1,1,true,true,14,14
10,2,3,7,3,90,5,0.055556,5.0,4,4,10,1,1,true,true,18,18
10,2,3,9,0,90,16,0.177778,5.0,4,4,10,1,1,true,false,6,6
10,2,3,9,1,90,9,0.100000,5.0,4,4,10,1,1,true,false,10,10
10,2,3,9,2,90,9,0.100000,5.0,4,4,10,1,1,true,false,14,14
10,2,3,9,3,90,3,0.033333,5.0,4,4,10,1,1,true,false,18,18
10,2,7,1,0,90,20,0.222222,5.0,4,4,10,1,1,true,false,6,6
10,2,7,1,1,90,11,0.122222,5.0,4,4,10,1,1,true,false,10,10
10,2,7,1,2,90,4,0.044444,5.0,4,4,10,1,1,true,false,14,14
10,2,7,1,3,90,7,0.077778,5.0,4,4,10,1,1,true,false,18,18
10,2,7,3,0,90,14,0.155556,5.0,4,4,10,1,1,true,true,6,6
10,2,7,3,1,90,7,0.077778,5.0,4,4,10,1,1,true,true,10,10
10,2,7,3,2,90,7,0.077778,5.0,4,4,10,1,1,true,true,14,14
10,2,7,3,3,90,4,0.044444,5.0,4,4,10,1,1,true,true,18,18
10,2,7,9,0,90,15,0.166667,5.0,4,4,10,1,1,true,false,6,6
10,2,7,9,1,90,11,0.122222,5.0,4,4,10,1,1,true,false,10,10
10,2,7,9,2,90,9,0.100000,5.0,4,4,10,1,1,true,false,14,14
10,2,7,9,3,90,6,0.066667,5.0,4,4,10,1,1,true,false,18,18
10,2,9,1,0,90,17,0.188889,5.0,4,4,10,1,1,false,false,6,6
10,2,9,1,1,90,10,0.111111,5.0,4,4,10,1,1,false,false,10,10
10,2,9,1,2,90,11,0.122222,5.0,4,4,10,1,1,false,false,14,14
10,2,9,1,3,90,5,0.055556,5.0,4,4,10,1,1,false,false,18,18
10,2,9,3,0,90,19,0.211111,5.0,4,4,10,1,1,false,true,6,6
10,2,9,3,1,90,9,0.100000,5.0,4,4,10,1,1,false,true,10,10
10,2,9,3,2,90,9,0.100000,5.0,4,4,10,1,1,false,true,14,14
10,2,9,3,3,90,10,0.111111,5.0,4,4,10,1,1,false,true,18,18
10,2,9,7,0,90,14,0.155556,5.0,4,4,10,1,1,false,true,6,6
10,2,9,7,1,90,9,0.100000,5.0,4,4,10,1,1,false,true,10,10
10,2,9,7,2,90,7,0.077778,5.0,4,4,10,1,1,false,true,14,14
10,2,9,7,3,90,5,0.055556,5.0,4,4,10,1,1,false,true,18,18
10,3,1,3,0,900,145,0.161111,5.0,4,4,10,1,1,false,true,7,7
10,3,1,3,1,900,107,0.118889,5.0,4,4,10,1,1,false,true,11,11
10,3,1,3,2,900,75,0.083333,5.0,4,4,10,1,1,false,true,15,15
10,3,1,3,3,900,50,0.055556,5.0,4,4,10,1,1,false,true,19,19
10,3,1,7,0,900,163,0.181111,5.0,4,4,10,1,1,false,true,7,7
10,3,1,7,1,900,117,0.130000,5.0,4,4,10,1,1,false,true,11,11
10,3,1,7,2,900,62,0.068889,5.0,4,4,10,1,1,false,true,15,15
10,3,1,7,3,900,60,0.066667,5.0,4,4,10,1,1,false,true,19,19
10,3,1,9,0,900,160,0.177778,5.0,4,4,10,1,1,false,false,7,7
10,3,1,9,1,900,96,0.106667,5.0,4,4,10,1,1,false,false,11,11
10,3,1,9,2,900,74,0.082222,5.0,4,4,10,1,1,false,false,15,15
10,3,1,9,3,900,42,0.046667,5.0,4,4,10,1,1,false,false,19,19
10,3,3,1,0,900,156,0.173333,5.0,4,4,10,1,1,true,false,7,7
10,3,3,1,1,900,99,0.110000,5.0,4,4,10,1,1,true,false,11,11
10,3,3,1,2,900,79,0.087778,5.0,4,4,10,1,1,true,false,15,15
10,3,3,1,3,900,44,0.048889,5.0,4,4,10,1,1,true,false,19,19
10,3,3,7,0,900,157,0.174444,5.0,4,4,10,1,1,true,true,7,7
10,3,3,7,1,900,89,0.098889,5.0,4,4,10,1,1,true,true,11,11
10,3,3,7,2,900,66,0.073333,5.0,4,4,10,1,1,true,true,15,15
10,3,3,7,3,900,61,0.067778,5.0,4,4,10,1,1,true,true,19,19
10,3,3,9,0,900,156,0.173333,5.0,4,4,10,1,1,true,false,7,7
10,3,3,9,1,900,92,0.102222,5.0,4,4,10,1,1,true,false,11,11
10,3,3,9,2,900,72,0.080000,5.0,4,4,10,1,1,true,false,15,15
10,3,3,9,3,900,54,0.060000,5.0,4,4,10,1,1,true,false,19,19
10,3,7,1,0,900,142,0.157778,5.0,4,4,10,1,1,true,false,7,7
10,3,7,1,1,900,104,0.115556,5.0,4,4,10,1,1,true,false,11,11
10,3,7,1,2,900,59,0.065556,5.0,4,4,10,1,1,true,false,15,15
10,3,7,1,3,900,51,0.056667,5.0,4,4,10,1,1,true,false,19,19
10,3,7,3,0,900,129,0.143333,5.0,4,4,10,1,1,true,true,7,7
10,3,7,3,1,900,91,0.101111,5.0,4,4,10,1,1,true,true,11,11
10,3,7,3,2,900,65,0.072222,5.0,4,4,10,1,1,true,true,15,15
10,3,7,3,3,900,39,0.043333,5.0,4,4,10,1,1,true,true,19,19
10,3,7,9,0,900,135,0.150000,5.0,4,4,10,1,1,true,false,7,7
10,3,7,9,1,900,93,0.103333,5.0,4,4,10,1,1,true,false,11,11
10,3,7,9,2,900,69,0.076667,5.0,4,4,10,1,1,true,false,15,15
10,3,7,9,3,900,45,0.050000,5.0,4,4,10,1,1,true,false,19,19
10,3,9,1,0,900,136,0.151111,5.0,4,4,10,1,1,false,false,7,7
10,3,9,1,1,900,91,0.101111,5.0,4,4,10,1,1,false,false,11,11
10,3,9,1,2,900,80,0.088889,5.0,4,4,10,1,1,false,false,15,15
10,3,9,1,3,900,62,0.068889,5.0,4,4,10,1,1,false,false,19,19
10,3,9,3,0,900,133,0.147778,5.0,4,4,10,1,1,false,true,7,7
10,3,9,3,1,900,80,0.088889,5.0,4,4,10,1,1,false,true,11,11
10,3,9,3,2,900,76,0.084444,5.0,4,4,10,1,1,false,true,15,15
10,3,9,3,3,900,55,0.061111,5.0,4,4,10,1,1,false,true,19,19
10,3,9,7,0,900,145,0.161111,5.0,4,4,10,1,1,false,true,7,7
10,3,9,7,1,900,86,0.095556,5.0,4,4,10,1,1,false,true,11,11
10,3,9,7,2,900,64,0.071111,5.0,4,4,10,1,1,false,true,15,15
10,3,9,7,3,900,66,0.073333,5.0,4,4,10,1,1,false,true,19,19
12,1,1,5,0,11,2,0.181818,6.0,4,6,6,1,1,false,true,5,5
12,1,1,5,1,11,1,0.090909,6.0,4,6,6,1,1,false,true,9,9
12,1,1,5,2,11,0,0.000000,6.0,4,6,6,1,1,false,true,13,13
12,1,1,5,3,11,0,0.000000,6.0,4,6,6,1,1,false,true,17,17
