10,2,3,1,1,100,21,0.210000
10,2,3,1,2,100,9,0.090000
10,2,3,1,3,100,5,0.050000
10,2,3,1,4,100,6,0.060000
10,2,3,1,5,100,7,0.070000
10,3,3,1,0,100,21,0.210000
10,3,3,1,1,100,10,0.100000
10,3,3,1,2,100,11,0.110000
10,3,3,1,3,100,11,0.110000
10,3,3,1,4,100,5,0.050000
10,3,3,1,5,100,2,0.020000
10,4,3,1,0,100,17,0.170000
10,4,3,1,1,100,11,0.110000
10,4,3,1,2,100,6,0.060000
10,4,3,1,3,100,8,0.080000
10,4,3,1,4,100,4,0.040000
10,4,3,1,5,100,8,0.080000
14,2,1,1,0,100,14,0.140000
14,2,1,1,1,100,14,0.140000
14,2,1,1,2,100,7,0.070000
14,2,1,1,3,100,5,0.050000
14,2,1,1,4,100,6,0.060000
14,2,1,1,5,100,11,0.110000
14,3,1,1,0,100,16,0.160000
14,3,1,1,1,100,12,0.120000
14,3,1,1,2,100,8,0.080000
14,3,1,1,3,100,7,0.070000
14,3,1,1,4,100,12,0.120000
14,3,1,1,5,100,7,0.070000
14,4,1,1,0,100,13,0.130000
14,4,1,1,1,100,5,0.050000
14,4,1,1,2,100,8,0.080000
14,4,1,1,3,100,6,0.060000
14,4,1,1,4,100,6,0.060000
14,4,1,1,5,100,7,0.070000
14,2,1,3,0,100,21,0.210000
14,2,1,3,1,100,9,0.090000
14,2,1,3,2,100,13,0.130000
14,2,1,3,3,100,6,0.060000
14,2,1,3,4,100,6,0.060000
14,2,1,3,5,100,6,0.060000
14,3,1,3,0,100,16,0.160000
14,3,1,3,1,100,7,0.070000
14,3,1,3,2,100,11,0.110000
14,3,1,3,3,100,8,0.080000
14,3,1,3,4,100,3,0.030000
14,3,1,3,5,100,8,0.080000
14,4,1,3,0,100,9,0.090000
14,4,1,3,1,100,8,0.080000
14,4,1,3,2,100,9,0.090000
14,4,1,3,3,100,6,0.060000
14,4,1,3,4,100,7,0.070000
14,4,1,3,5,100,4,0.040000
14,2,3,1,0,100,11,0.110000
14,2,3,1,1,100,10,0.100000
14,2,3,1,2,100,11,0.110000
14,2,3,1,3,100,11,0.110000
14,2,3,1,4,100,7,0.070000
14,2,3,1,5,100,4,0.040000
14,3,3,1,0,100,12,0.120000
14,3,3,1,1,100,12,0.120000
14,3,3,1,2,100,4,0.040000
14,3,3,1,3,100,7,0.070000
14,3,3,1,4,100,9,0.090000
14,3,3,1,5,100,3,0.030000
14,4,3,1,0,100,11,0.110000
14,4,3,1,1,100,9,0.090000
14,4,3,1,2,100,9,0.090000
14,4,3,1,3,100,5,0.050000
14,4,3,1,4,100,3,0.030000
14,4,3,1,5,100,4,0.040000
18,2,1,1,0,100,18,0.180000
18,2,1,1,1,100,11,0.110000
18,2,1,1,2,100,23,0.230000
18,2,1,1,3,100,9,0.090000
18,2,1,1,4,100,12,0.120000
18,2,1,1,5,100,4,0.040000
18,3,1,1,0,100,21,0.210000
18,3,1,1,1,100,9,0.090000
18,3,1,1,2,100,11,0.110000
18,3,1,1,3,100,9,0.090000
18,3,1,1,4,100,6,0.060000
18,3,1,1,5,100,6,0.060000
18,4,1,1,0,100,13,0.130000
18,4,1,1,1,100,8,0.080000
18,4,1,1,2,100,7,0.070000
18,4,1,1,3,100,9,0.090000
18,4,1,1,4,100,6,0.060000
18,4,1,1,5,100,5,0.050000
18,2,1,5,0,100,19,0.190000
18,2,1,5,1,100,14,0.140000
18,2,1,5,2,100,15,0.150000
18,2,1,5,3,100,7,0.070000
18,2,1,5,4,100,11,0.110000
18,2,1,5,5,100,13,0.130000
