base,outer,inner,k_outer,k_inner,middle_length,total_padding,total_digits,total_tested,primes_found,composites_found,density,mean_gap,std_gap,min_gap,max_gap,gap_ratio,relative_std,elapsed_ms,examples
10,3,7,1,1,4,4,10,10000,943,9057,0.09430000,105923.5669,94744.8607,10000,750000,75.0000,0.8945,13,"307000090703;307000120703;307000260703;307000600703;307000750703"
10,3,7,1,2,4,6,12,10000,840,9160,0.08400000,1191418.3552,1067081.5089,100000,6900000,69.0000,0.8956,12,"30700000200703;30700001400703;30700001500703;30700001700703;30700007400703"
10,3,7,1,3,4,8,14,10000,664,9336,0.06640000,15067873.3032,13914083.8023,1000000,96000000,96.0000,0.9234,15,"3070000008000703;3070000015000703;3070000027000703;3070000029000703;3070000080000703"
10,3,7,2,0,4,4,10,10000,968,9032,0.09680000,103226.4736,91042.0735,10000,540000,54.0000,0.8820,12,"300700147003;300700357003;300700457003;300700517003;300700537003"
10,3,7,2,1,4,6,12,10000,801,9199,0.08010000,1247750.0000,1240522.0423,100000,9600000,96.0000,0.9942,12,"30070000807003;30070003607003;30070003907003;30070005307003;30070009307003"
10,3,7,2,2,4,8,14,10000,688,9312,0.06880000,14534206.6958,12817549.9537,1000000,78000000,78.0000,0.8819,16,"3007000008007003;3007000045007003;3007000047007003;3007000050007003;3007000080007003"
10,3,7,2,3,4,10,16,10000,607,9393,0.06070000,164537953.7954,156133250.1226,10000000,1040000000,104.0000,0.9489,17,"300700000270007003;300700000480007003;300700000530007003;300700000830007003;300700001080007003"
10,3,7,3,0,4,6,12,10000,805,9195,0.08050000,1241915.4229,1129498.9920,100000,10000000,100.0000,0.9095,17,"30007000270003;30007000370003;30007000870003;30007002370003;30007004570003"
10,3,7,3,1,4,8,14,10000,653,9347,0.06530000,15243865.0307,14618682.1318,1000000,104000000,104.0000,0.9590,19,"3000700023070003;3000700030070003;3000700059070003;3000700072070003;3000700086070003"
10,3,7,3,2,4,10,16,10000,601,9399,0.06010000,166500000.0000,153643798.0091,10000000,1150000000,115.0000,0.9228,32,"300070000060070003;300070000170070003;300070000300070003;300070000510070003;300070000600070003"
10,3,7,3,3,4,12,18,0,0,0,0.00000000,0.0000,0.0000,0,0,0.0000,0.0000,3,""
10,3,7,0,0,5,0,7,100000,12713,87287,0.12713000,786.6032,675.3416,100,6300,63.0000,0.8586,78,"370000273;370001273;370001473;370001873;370003273"
10,3,7,0,1,5,2,9,100000,10213,89787,0.10213000,9792.3032,8619.8179,1000,77000,77.0000,0.8803,135,"37000000073;37000009073;37000011073;37000018073;37000027073"
10,3,7,0,2,5,4,11,100000,8634,91366,0.08634000,115825.3214,102871.0660,10000,1060000,106.0000,0.8882,130,"3700000030073;3700000110073;3700000150073;3700000180073;3700000590073"
10,3,7,0,3,5,6,13,100000,7481,92519,0.07481000,1336644.3850,1213380.4909,100000,12300000,123.0000,0.9078,155,"370000001700073;370000002000073;370000004500073;370000004800073;370000005100073"
10,3,7,1,0,5,2,9,100000,10356,89644,0.10356000,9655.3356,8513.1244,1000,67000,67.0000,0.8817,156,"30700014703;30700024703;30700033703;30700041703;30700065703"
10,3,7,1,1,5,4,11,100000,8663,91337,0.08663000,115428.3076,104096.1810,10000,1120000,112.0000,0.9018,125,"3070000030703;3070000060703;3070000170703;3070000200703;3070000470703"
