base,M,outer,inner,k,seed,seed_digits,membrane_digits,discriminant,is_perfect_square,sqrt_disc,disc_mod_base,disc_mod_3,disc_mod_5,disc_mod_7,qr_3,qr_5,qr_7,qr_11,qr_positive_count,goldbach_pairs,goldbach_lambda,goldbach_coverage,is_prime,membrane_value
10,2,3,7,0,84,2,6,7020,false,-1,0,0,0,6,0,0,-1,-1,0,8,6.779120,0.998863,false,378473
10,2,3,7,0,85,2,6,7189,false,-1,9,1,4,0,1,1,0,-1,2,0,0.000000,0.000000,false,378573
10,2,3,7,0,86,2,6,7360,false,-1,0,1,0,3,1,0,-1,1,2,5,2.931205,0.946667,false,378673
10,2,3,7,0,87,2,6,7533,false,-1,3,0,3,1,0,-1,1,1,2,0,0.000000,0.000000,false,378773
10,2,3,7,0,88,2,6,7708,false,-1,8,1,3,1,1,-1,1,-1,2,4,3.219964,0.960044,false,378873
10,2,3,7,0,89,2,6,7885,false,-1,5,1,0,3,1,0,-1,1,2,0,0.000000,0.000000,false,378973
10,2,3,7,0,90,2,6,8064,false,-1,4,0,4,0,0,1,0,1,2,9,7.824802,0.999600,true,379073
10,2,3,7,0,91,2,6,8245,false,-1,5,1,0,6,1,0,-1,-1,1,0,0.000000,0.000000,false,379173
10,2,3,7,0,92,2,6,8428,false,-1,8,1,3,0,1,-1,0,-1,1,4,3.111868,0.955482,true,379273
10,2,3,7,0,93,2,6,8613,false,-1,3,0,3,3,0,-1,-1,0,0,0,0.000000,0.000000,false,379373
10,2,3,7,0,94,2,6,8800,false,-1,0,1,0,1,1,0,1,0,2,5,3.073136,0.953724,false,379473
10,2,3,7,0,95,2,6,8989,false,-1,9,1,4,1,1,1,1,-1,3,0,0.000000,0.000000,true,379573
10,2,3,7,0,96,2,6,9180,false,-1,0,0,0,3,0,0,-1,-1,0,7,6.084069,0.997721,false,379673
10,2,3,7,0,97,2,6,9373,false,-1,3,1,3,0,1,-1,0,1,2,0,0.000000,0.000000,false,379773
10,2,3,7,0,98,2,6,9568,false,-1,8,1,3,6,1,-1,-1,1,2,3,3.693050,0.975104,false,379873
10,2,3,7,0,99,2,6,9765,false,-1,5,0,0,0,0,0,0,-1,0,0,0.000000,0.000000,false,379973
10,2,3,7,1,10,2,10,64,true,8,4,1,4,1,1,1,1,1,4,2,1.660190,0.809897,false,3070100703
10,2,3,7,1,11,2,10,85,false,-1,5,1,0,1,1,0,1,-1,2,0,0.000000,0.000000,false,3070110703
10,2,3,7,1,12,2,10,108,false,-1,8,0,3,3,0,-1,-1,1,1,1,2.565910,0.923151,false,3070120703
10,2,3,7,1,13,2,10,133,false,-1,3,1,3,0,1,-1,0,1,2,0,0.000000,0.000000,false,3070130703
10,2,3,7,1,14,2,10,160,false,-1,0,1,0,6,1,0,-1,-1,1,2,1.592436,0.796571,false,3070140703
10,2,3,7,1,15,2,10,189,false,-1,9,0,4,0,0,1,0,-1,1,0,0.000000,0.000000,false,3070150703
10,2,3,7,1,16,2,10,220,false,-1,0,1,0,3,1,0,-1,0,1,2,1.374040,0.746918,false,3070160703
10,2,3,7,1,17,2,10,253,false,-1,3,1,3,1,1,-1,1,0,2,0,0.000000,0.000000,false,3070170703
10,2,3,7,1,18,2,10,288,false,-1,8,0,3,1,0,-1,1,-1,1,2,2.844759,0.941852,false,3070180703
10,2,3,7,1,19,2,10,325,false,-1,5,1,0,3,1,0,-1,-1,1,0,0.000000,0.000000,false,3070190703
10,2,3,7,1,20,2,10,364,false,-1,4,1,4,0,1,1,0,1,3,2,1.961612,0.859368,false,3070200703
10,2,3,7,1,21,2,10,405,false,-1,5,0,0,6,0,0,-1,1,1,0,0.000000,0.000000,false,3070210703
10,2,3,7,1,22,2,10,448,false,-1,8,1,3,0,1,-1,0,-1,1,3,1.688965,0.815289,false,3070220703
10,2,3,7,1,23,2,10,493,false,-1,3,1,3,3,1,-1,-1,1,2,0,0.000000,0.000000,false,3070230703
10,2,3,7,1,24,2,10,540,false,-1,0,0,0,1,0,0,1,1,2,3,3.137395,0.956604,false,3070240703
10,2,3,7,1,25,2,10,589,false,-1,9,1,4,1,1,1,1,-1,3,0,0.000000,0.000000,false,3070250703
10,2,3,7,1,26,2,10,640,false,-1,0,1,0,3,1,0,-1,-1,1,3,1.763942,0.828632,false,3070260703
10,2,3,7,1,27,2,10,693,false,-1,3,0,3,0,0,-1,0,0,0,0,0.000000,0.000000,false,3070270703
10,2,3,7,1,28,2,10,748,false,-1,8,1,3,6,1,-1,-1,0,1,2,1.997682,0.864351,false,3070280703
10,2,3,7,1,29,2,10,805,false,-1,5,1,0,0,1,0,0,-1,1,0,0.000000,0.000000,true,3070290703
10,2,3,7,1,30,2,10,864,false,-1,4,0,4,3,0,1,-1,-1,1,3,4.565378,0.989594,false,3070300703
10,2,3,7,1,31,2,10,925,false,-1,5,1,0,1,1,0,1,1,3,0,0.000000,0.000000,false,3070310703
10,2,3,7,1,32,2,10,988,false,-1,8,1,3,1,1,-1,1,1,3,2,1.758772,0.827744,false,3070320703
10,2,3,7,1,33,2,10,1053,false,-1,3,0,3,3,0,-1,-1,-1,0,0,0.000000,0.000000,false,3070330703
10,2,3,7,1,34,2,10,1120,false,-1,0,1,0,0,1,0,0,1,2,4,1.925328,0.854172,false,3070340703
10,2,3,7,1,35,2,10,1189,false,-1,9,1,4,6,1,1,-1,1,3,0,0.000000,0.000000,false,3070350703
10,2,3,7,1,36,2,10,1260,false,-1,0,0,0,0,0,0,0,-1,0,4,3.701378,0.975311,false,3070360703
10,2,3,7,1,37,2,10,1333,false,-1,3,1,3,3,1,-1,-1,-1,1,0,0.000000,0.000000,false,3070370703
10,2,3,7,1,38,2,10,1408,false,-1,8,1,3,1,1,-1,1,0,2,2,2.007387,0.865661,false,3070380703
10,2,3,7,1,39,2,10,1485,false,-1,5,0,0,1,0,0,1,0,1,0,0.000000,0.000000,true,3070390703
10,2,3,7,1,40,2,10,1564,false,-1,4,1,4,3,1,1,-1,-1,2,3,2.587380,0.924783,false,3070400703
10,2,3,7,1,41,2,10,1645,false,-1,5,1,0,0,1,0,0,-1,1,0,0.000000,0.000000,false,3070410703
10,2,3,7,1,42,2,10,1728,false,-1,8,0,3,6,0,-1,-1,1,1,4,4.763313,0.991463,false,3070420703
